epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1322.13,1.20469,0.55698,0.96984,0.87712,0.88567,0.89069,0.52131,1.3112,5.46297,0.97708,0.000713,0.000713,0.000713
67,1342.1,1.21086,0.56435,0.96789,0.87534,0.87864,0.87627,0.51619,1.29725,5.37794,0.96961,0.0006932,0.0006932,0.0006932
68,1362.12,1.20507,0.5615,0.97181,0.88014,0.87655,0.88799,0.52283,1.29337,5.5138,0.97328,0.0006734,0.0006734,0.0006734
69,1382.11,1.19724,0.55347,0.96751,0.86428,0.89016,0.88911,0.52006,1.30067,5.6407,0.97432,0.0006536,0.0006536,0.0006536
70,1402.1,1.19123,0.55472,0.96324,0.88409,0.88482,0.89397,0.52275,1.29399,5.55582,0.97509,0.0006338,0.0006338,0.0006338
71,1422.08,1.17326,0.54659,0.96226,0.87146,0.8911,0.88538,0.5262,1.28502,5.70876,0.97008,0.000614,0.000614,0.000614
72,1442.06,1.18238,0.54474,0.96327,0.87814,0.89413,0.88815,0.52651,1.28741,6.23151,0.96818,0.0005942,0.0005942,0.0005942
73,1462.06,1.16981,0.54171,0.95527,0.87604,0.89173,0.89116,0.51555,1.30227,5.98743,0.97595,0.0005744,0.0005744,0.0005744
74,1482.04,1.16099,0.54002,0.96101,0.87571,0.87906,0.88439,0.51976,1.29628,5.46831,0.97181,0.0005546,0.0005546,0.0005546
75,1502.04,1.16486,0.53989,0.95712,0.88297,0.88482,0.89086,0.5275,1.28968,5.9812,0.97223,0.0005348,0.0005348,0.0005348
76,1522.05,1.15079,0.53396,0.95753,0.88475,0.88586,0.89232,0.52613,1.28749,6.20544,0.96928,0.000515,0.000515,0.000515
77,1542.05,1.1506,0.5267,0.95163,0.8771,0.89476,0.88988,0.52561,1.28718,5.78637,0.97045,0.0004952,0.0004952,0.0004952
78,1562.03,1.14112,0.52248,0.94844,0.85879,0.88429,0.88148,0.51829,1.28624,5.60856,0.97752,0.0004754,0.0004754,0.0004754
79,1582.03,1.13336,0.52084,0.94726,0.87495,0.89386,0.88635,0.52127,1.29155,5.83956,0.97285,0.0004556,0.0004556,0.0004556
80,1602.04,1.12446,0.51598,0.94706,0.87378,0.90262,0.89029,0.52692,1.2889,5.71453,0.97261,0.0004358,0.0004358,0.0004358
81,1622.03,1.12304,0.51353,0.94722,0.87498,0.89037,0.88667,0.52251,1.2914,5.73316,0.97444,0.000416,0.000416,0.000416
82,1642.02,1.12582,0.51399,0.94439,0.89147,0.88168,0.88713,0.52673,1.29454,5.86733,0.97474,0.0003962,0.0003962,0.0003962
83,1662.02,1.11929,0.5114,0.94532,0.87703,0.89372,0.88944,0.52605,1.28625,6.29588,0.97549,0.0003764,0.0003764,0.0003764
84,1682.06,1.10593,0.50977,0.94243,0.86608,0.90066,0.89155,0.52414,1.28841,6.0906,0.9749,0.0003566,0.0003566,0.0003566
85,1702.07,1.10177,0.50432,0.94747,0.88025,0.89738,0.89121,0.52527,1.29384,6.23966,0.97795,0.0003368,0.0003368,0.0003368
86,1722.08,1.0884,0.49416,0.93464,0.88241,0.90471,0.897,0.5349,1.28157,5.68554,0.97568,0.000317,0.000317,0.000317
87,1742.12,1.08796,0.49607,0.93726,0.87821,0.8985,0.89622,0.53409,1.28513,5.92078,0.97746,0.0002972,0.0002972,0.0002972
88,1762.11,1.07548,0.49238,0.93552,0.87644,0.88586,0.89043,0.52604,1.29455,6.15652,0.9795,0.0002774,0.0002774,0.0002774
89,1782.11,1.07291,0.48988,0.93171,0.87731,0.88355,0.88777,0.52357,1.29013,5.82678,0.97608,0.0002576,0.0002576,0.0002576
90,1802.09,1.07312,0.48884,0.92904,0.88035,0.89581,0.89547,0.53198,1.28107,6.08289,0.97658,0.0002378,0.0002378,0.0002378
91,1822.96,1.08085,0.47819,0.95057,0.87601,0.89529,0.89264,0.52637,1.29222,5.81337,0.981,0.000218,0.000218,0.000218
92,1842.92,1.05423,0.46296,0.93802,0.87218,0.89686,0.8876,0.52541,1.28462,5.69808,0.97904,0.0001982,0.0001982,0.0001982
93,1862.87,1.04666,0.45875,0.937,0.87221,0.89372,0.88868,0.52745,1.28505,5.74458,0.97904,0.0001784,0.0001784,0.0001784
94,1882.8,1.05001,0.46268,0.93549,0.88805,0.88874,0.8928,0.5326,1.2746,5.85485,0.97517,0.0001586,0.0001586,0.0001586
95,1902.75,1.04103,0.45638,0.93735,0.88656,0.88791,0.89192,0.53147,1.27799,6.13026,0.97258,0.0001388,0.0001388,0.0001388
96,1922.69,1.04174,0.45694,0.93282,0.88413,0.89215,0.8963,0.53915,1.27147,6.04511,0.97245,0.000119,0.000119,0.000119
97,1942.68,1.02618,0.45213,0.93196,0.88355,0.89476,0.89258,0.53502,1.27302,5.81634,0.9727,9.92e-05,9.92e-05,9.92e-05
98,1962.65,1.02648,0.44842,0.93121,0.88718,0.89342,0.89581,0.53796,1.27307,5.99354,0.97249,7.94e-05,7.94e-05,7.94e-05
99,1982.59,1.01944,0.44697,0.92421,0.88681,0.89267,0.8948,0.53653,1.27037,6.12534,0.97223,5.96e-05,5.96e-05,5.96e-05
100,2002.56,1.00861,0.44307,0.92968,0.88952,0.88945,0.89258,0.53331,1.2764,6.08419,0.97255,3.98e-05,3.98e-05,3.98e-05
