epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,383.05,1.22858,0.67889,0.99642,0.91383,0.76303,0.84925,0.4979,1.44294,0.72787,1.12547,0.0009308,0.0009308,0.0009308
56,389.969,1.23216,0.66525,0.9883,0.91886,0.83184,0.88951,0.52733,1.42591,0.72572,1.1103,0.000911,0.000911,0.000911
57,396.868,1.1729,0.6493,0.97579,0.91138,0.79147,0.85776,0.47866,1.54459,0.79172,1.13859,0.0008912,0.0008912,0.0008912
58,403.826,1.17667,0.63829,0.97408,0.92491,0.78436,0.87488,0.51183,1.46043,0.75793,1.13696,0.0008714,0.0008714,0.0008714
59,410.75,1.19179,0.64176,0.97463,0.88078,0.74645,0.83291,0.48531,1.37964,0.77899,1.10267,0.0008516,0.0008516,0.0008516
60,417.759,1.16658,0.62223,0.97583,0.90506,0.83583,0.89404,0.51589,1.40467,0.70743,1.12413,0.0008318,0.0008318,0.0008318
61,424.753,1.19505,0.63252,0.97703,0.91908,0.77251,0.86454,0.51073,1.36735,0.67712,1.10653,0.000812,0.000812,0.000812
62,431.692,1.18105,0.62497,0.96748,0.91187,0.83365,0.90268,0.53752,1.36607,0.64378,1.10475,0.0007922,0.0007922,0.0007922
63,438.663,1.17072,0.62805,0.97159,0.91746,0.79384,0.87667,0.52144,1.40948,0.72632,1.12262,0.0007724,0.0007724,0.0007724
64,445.58,1.16489,0.62778,0.96936,0.9184,0.81991,0.88847,0.52293,1.41109,0.69281,1.10223,0.0007526,0.0007526,0.0007526
65,452.493,1.12781,0.61308,0.96945,0.91341,0.7891,0.85762,0.48458,1.46125,0.79939,1.10931,0.0007328,0.0007328,0.0007328
66,459.414,1.12455,0.6052,0.96346,0.92386,0.8436,0.90248,0.52882,1.40931,0.66529,1.10736,0.000713,0.000713,0.000713
67,466.337,1.12756,0.6022,0.9593,0.91157,0.85497,0.90408,0.53886,1.39926,0.70548,1.09267,0.0006932,0.0006932,0.0006932
68,473.295,1.13019,0.60127,0.95704,0.95132,0.82227,0.90842,0.54849,1.39039,0.66234,1.0996,0.0006734,0.0006734,0.0006734
69,480.279,1.12958,0.59926,0.96026,0.92604,0.82701,0.89841,0.5375,1.38716,0.70967,1.08701,0.0006536,0.0006536,0.0006536
70,487.175,1.10542,0.58198,0.94644,0.88833,0.78436,0.86033,0.50053,1.40289,0.70173,1.10639,0.0006338,0.0006338,0.0006338
71,494.117,1.0977,0.58329,0.94999,0.91392,0.85071,0.91666,0.55399,1.32751,0.6353,1.07239,0.000614,0.000614,0.000614
72,501.082,1.10428,0.5741,0.93671,0.91099,0.82701,0.8834,0.52818,1.35053,0.71873,1.08886,0.0005942,0.0005942,0.0005942
73,507.986,1.08012,0.56447,0.94106,0.9327,0.82097,0.89624,0.54996,1.22662,0.63748,1.04823,0.0005744,0.0005744,0.0005744
74,514.887,1.06738,0.55897,0.94239,0.89088,0.85125,0.8982,0.52924,1.37942,0.6614,1.09259,0.0005546,0.0005546,0.0005546
75,521.803,1.05851,0.56597,0.93179,0.9147,0.81043,0.88538,0.53214,1.34337,0.65948,1.07012,0.0005348,0.0005348,0.0005348
76,528.697,1.06333,0.55629,0.93852,0.945,0.81043,0.89963,0.54477,1.34871,0.67365,1.07016,0.000515,0.000515,0.000515
77,535.633,1.05425,0.547,0.94032,0.89994,0.85254,0.90992,0.54709,1.35277,0.62504,1.07372,0.0004952,0.0004952,0.0004952
78,542.579,1.07478,0.56597,0.93912,0.90621,0.8436,0.90289,0.55247,1.33566,0.6138,1.08095,0.0004754,0.0004754,0.0004754
79,549.496,1.0472,0.53979,0.94064,0.89276,0.82858,0.89272,0.54293,1.40712,0.65287,1.11297,0.0004556,0.0004556,0.0004556
80,556.409,1.01637,0.54767,0.91925,0.91789,0.82122,0.89702,0.52965,1.40504,0.65083,1.09365,0.0004358,0.0004358,0.0004358
81,563.31,1.03493,0.53526,0.93356,0.86597,0.82675,0.88222,0.52803,1.35103,0.67091,1.07169,0.000416,0.000416,0.000416
82,570.214,1.01785,0.53499,0.92255,0.90304,0.82938,0.89327,0.54014,1.34047,0.66156,1.07629,0.0003962,0.0003962,0.0003962
83,577.121,1.00128,0.52536,0.91704,0.90383,0.86256,0.91459,0.55687,1.37191,0.61942,1.08905,0.0003764,0.0003764,0.0003764
84,584.092,1.01124,0.54142,0.91433,0.90881,0.85019,0.90038,0.54623,1.3361,0.61115,1.09114,0.0003566,0.0003566,0.0003566
85,591.027,1.01854,0.52703,0.92255,0.92106,0.85545,0.91375,0.55832,1.27145,0.61175,1.06498,0.0003368,0.0003368,0.0003368
86,598.007,1.02232,0.52355,0.91959,0.90036,0.8351,0.89312,0.53873,1.32454,0.61534,1.07219,0.000317,0.000317,0.000317
87,604.912,1.00239,0.50567,0.91192,0.92269,0.85071,0.91811,0.55525,1.33524,0.60116,1.09022,0.0002972,0.0002972,0.0002972
88,611.843,0.97925,0.50224,0.89869,0.90771,0.83905,0.90534,0.55318,1.35953,0.64311,1.09194,0.0002774,0.0002774,0.0002774
89,618.761,0.96548,0.49858,0.90984,0.91963,0.84061,0.90226,0.55402,1.38963,0.62505,1.1011,0.0002576,0.0002576,0.0002576
90,625.676,0.97526,0.50242,0.90581,0.9105,0.87441,0.91379,0.55968,1.36161,0.60483,1.0785,0.0002378,0.0002378,0.0002378
91,634.279,1.01273,0.52809,0.93582,0.90635,0.87145,0.91632,0.55658,1.36042,0.62294,1.08555,0.000218,0.000218,0.000218
92,641.224,0.96681,0.49286,0.9085,0.92088,0.86493,0.90588,0.54873,1.32614,0.62561,1.08379,0.0001982,0.0001982,0.0001982
93,648.12,0.93587,0.47137,0.90014,0.88983,0.86493,0.90338,0.55669,1.30873,0.61408,1.0733,0.0001784,0.0001784,0.0001784
94,655.013,0.95051,0.47079,0.9156,0.91337,0.85308,0.91173,0.55498,1.31932,0.61987,1.0817,0.0001586,0.0001586,0.0001586
95,661.914,0.93675,0.4669,0.90651,0.9259,0.84597,0.90459,0.55707,1.32783,0.6105,1.0909,0.0001388,0.0001388,0.0001388
96,668.797,0.92906,0.47426,0.90722,0.92296,0.85171,0.90598,0.55695,1.31412,0.59457,1.07727,0.000119,0.000119,0.000119
97,675.685,0.94507,0.47106,0.89337,0.91116,0.85065,0.90008,0.54859,1.34816,0.62017,1.09748,9.92e-05,9.92e-05,9.92e-05
98,682.607,0.9124,0.45608,0.89878,0.93919,0.84183,0.9029,0.56097,1.32278,0.60804,1.08641,7.94e-05,7.94e-05,7.94e-05
99,689.575,0.90477,0.44405,0.89588,0.94149,0.83649,0.90877,0.56697,1.33204,0.61662,1.08977,5.96e-05,5.96e-05,5.96e-05
100,696.527,0.89921,0.45176,0.90535,0.94302,0.83412,0.90627,0.5612,1.35316,0.6212,1.10046,3.98e-05,3.98e-05,3.98e-05
