epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,293.316,1.00103,0.45423,0.93849,0.94081,0.9536,0.9768,0.56926,1.51821,0.59513,1.14744,0.0002972,0.0002972,0.0002972
88,296.658,0.96992,0.44901,0.93792,0.95114,0.94857,0.97393,0.57316,1.52318,0.59521,1.14626,0.0002774,0.0002774,0.0002774
89,300.017,0.97162,0.44434,0.93667,0.94002,0.94037,0.97136,0.57415,1.4976,0.58464,1.13479,0.0002576,0.0002576,0.0002576
90,303.373,0.98268,0.44703,0.92774,0.94891,0.94,0.97354,0.57158,1.51116,0.59724,1.14493,0.0002378,0.0002378,0.0002378
91,307.134,0.96858,0.44215,0.95644,0.94085,0.95429,0.97626,0.58085,1.49624,0.57666,1.14636,0.000218,0.000218,0.000218
92,310.548,0.94732,0.42822,0.95909,0.93291,0.95349,0.97679,0.57946,1.49117,0.58503,1.14419,0.0001982,0.0001982,0.0001982
93,313.894,0.94502,0.42027,0.94806,0.94347,0.95367,0.97815,0.56802,1.51012,0.59864,1.15082,0.0001784,0.0001784,0.0001784
94,317.239,0.92033,0.41657,0.93934,0.93544,0.9522,0.97752,0.57165,1.50087,0.59957,1.14227,0.0001586,0.0001586,0.0001586
95,320.589,0.92197,0.40891,0.94034,0.93564,0.96286,0.97733,0.57566,1.4867,0.59569,1.13791,0.0001388,0.0001388,0.0001388
96,323.937,0.91404,0.40583,0.94082,0.94277,0.95429,0.97077,0.56804,1.50734,0.609,1.14934,0.000119,0.000119,0.000119
97,327.286,0.91989,0.41266,0.93735,0.9433,0.95062,0.97324,0.56925,1.50238,0.60262,1.14815,9.92e-05,9.92e-05,9.92e-05
98,330.653,0.88401,0.39207,0.93096,0.93792,0.94972,0.97809,0.56823,1.49968,0.6042,1.1471,7.94e-05,7.94e-05,7.94e-05
99,334.033,0.89356,0.39969,0.93382,0.93392,0.95143,0.97834,0.57254,1.49946,0.60377,1.14262,5.96e-05,5.96e-05,5.96e-05
100,337.414,0.87407,0.39838,0.91885,0.9408,0.95359,0.97736,0.57653,1.49097,0.59765,1.14028,3.98e-05,3.98e-05,3.98e-05
